"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings starting with '[' and containing many repetitions of 'Z'.","/date-and-time.js","139","22","139","29"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///date-and-time.js:162:107:162:108""]] that depends on [[""library input""|""relative:///date-and-time.js:154:38:154:40""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:162:107:162:108""]] that depends on [[""library input""|""relative:///date-and-time.js:252:50:252:53""]] may run slow on strings starting with '[' and with many repetitions of '[a'.","/date-and-time.js","162","89","162","118"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:173:43:173:45""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:212:36:212:39""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:231:40:231:42""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:252:44:252:47""]] may run slow on strings starting with '[' and with many repetitions of '[a'.","/date-and-time.js","191","24","191","42"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:173:43:173:45""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:212:36:212:39""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:231:40:231:42""]] may run slow on strings starting with '[' and with many repetitions of '[a'.
This [[""regular expression""|""relative:///date-and-time.js:176:27:176:28""]] that depends on [[""library input""|""relative:///date-and-time.js:252:44:252:47""]] may run slow on strings starting with '[' and with many repetitions of '[a'.","/date-and-time.js","191","81","191","99"
